gene_id	chrom	start	end	number_of_cds	gene_name	name_alias
FBgn0001142	2L	132077	134472	3	Gs1	FBgn0003695;glutamine synthetase I;Glutamate-ammonia ligase;GS1;mitochondrial glutamine synthetase;mt-gs;fs(2)throng;fs(2)P52;GSI;gs-m;gsI;throng;thg;l(2)21Bc;GsI;CG2718;Glutamine synthetase;glutamine synthetase-1;glutamine synthetase 1;GLUTAMINE SYNTHETASE 1;glutamine synthase 1;Glutamine Synthetase
FBgn0051975	2L	138384	140992	6	CG31975	FBgn0031223;CG18501
FBgn0051976	2L	138384	140992	2	ovm	FBgn0031222;CG31976;CG11623
FBgn0051974	2L	141077	143091	9	CG31974	FBgn0031223;CG18501;Ecdysteroid kinase, PKC like
FBgn0031224	2L	143323	144227	1	CG11454	cg11454;dRbm7
FBgn0259818	2L	144231	153300	10	CG42399	CG4648;CG11620;FBgn0031226;FBgn0031225;CG11620;CG4648
FBgn0031227	2L	153539	155305	2	CG3709	FBgn0063788;anon-WO0257455.7
FBgn0031229	2L	156029	157666	6	CG3436	
FBgn0053635	2L	157836	158664	2	CG33635	BP1075;HDC00027
FBgn0016977	2L	159032	203397	69	spen	FBgn0010537;FBgn0016056;FBgn0016624;FBgn0022059;FBgn0022080;FBgn0022115;FBgn0026182;FBgn0031230;FBgn0040065;FBgn0047291;CG18497-RB;CG18497-PB;CG18497-RA;CG18497-PA;CG18497-RC;CG18497-PC;FBtr0078121;FBpp0077780;FBtr0078122;FBpp0077781;FBtr0078123;FBpp0077782;Splitends;CG18497;rhinoceros;rno;EK2-9;E(Sev-CycE)2A;EY2-7;spe;E(E2F)2A;l(2)k08102;l(2)k07612;l(2)k06805;l(2)03350;poc;136/24;polycephalon;yippee interacting protein 1;yip1;En(yan[ACT])2-7;E(Raf)2A;BcDNA:GM01870;SPEN;split-ends;Split ends;Spen;Split-ends
FBgn0031231	2L	203779	204782	2	mRpL10	L10;CG11488
FBgn0031232	2L	204743	207297	6	CG11617	Mkx
FBgn0266557	2L	210735	250823	54	kis	FBgn0062647;FBgn0086902;FBgn0010642;FBgn0010689;FBgn0010697;FBgn0010698;FBgn0021918;FBgn0026596;FBgn0031234;FBgn0031236;FBgn0046436;FBgn0063789;FBgn0021813;FBgn0001309;KIS;EC2-7;Kis;Kismet;EP(2)0474;EP474;FBtr0078144;kiss;CG3660;EK2-4;l(2)k16510;GM02209;5841;2532;136/31;l(2)k14112;l(2)k13631;lethal (2) k11324;lethal (2) k16510;l(2)k11324;l(2)s4793;l(2)s4771;l(2)s3527;l(2)k08827;l(2)07812;Su(Pc)21AB;CG18326;CG3696;BEST:GM02209;anon-WO0257455.5;anon-WO0172774.164;KIS-L;DmelPex20;Pex20;Peroxin 20;KISMET
FBgn0031235	2L	232487	234208	2	CG13693	
FBgn0283652	2L	251039	252373	6	Rpp30	FBgn0022246;FBgn0031237;FBgn0266476;RNase P;l(2)k01901;#19/1;CG11606;coconut;Rpp1
FBgn0031238	2L	252589	271744	5	CG3645	
FBgn0031239	2L	259949	267505	2	CG17075	
FBgn0031240	2L	269088	271626	3	CG3345	FBgn0044666;anon-WO0140519.207
FBgn0086912	2L	271912	273715	2	mbm	FBgn0002687;FBgn0031242;CG11604;mushroom bodies miniature;mushroom bodies small;mus;mushroom-body-miniature;MB miniature
FBgn0086856	2L	273836	274766	2	CG11555	FBgn0031241;FBgn0017442;anon-21Ca
FBgn0086855	2L	274740	278234	14	CG17078	FBgn0031243;FBgn0017441;anon-21Cb
FBgn0003444	2L	277582	282167	6	smo	Smo;CG11561;dSmo;smooth;SMO;Smoothened;Smoothene
FBgn0031244	2L	281670	283269	4	CG11601	
FBgn0031245	2L	283385	291795	6	CG3625	
FBgn0025686	2L	287252	289144	2	Amnionless	FBgn0031246;CG11592;CK02467;BEST:CK02467;dAMN;Amnionless;Amnionless ortholog;dAmn;Amn
FBgn0031247	2L	292419	293222	2	CG11562	FBgn0063011;BcDNA:RE44650
FBgn0017457	2L	292959	294681	4	U2af38	FBgn0010626;U2AF38;U2AF;dU2AF38;DU2AF38;CG3582;dU2AF[38];l(2)06751;u2af38;U2AF 38;Utaf38
FBgn0024352	2L	295122	297449	4	Stip1	FBgn0022263;dHop;dmSTI1;EP(2)0418;Hsp70/Hsp90 organizing protein homolog;dhop;dSTI1;l(2)k00616;Sti1;CG2720;Hsp70/Hsp90 organizing protein;HOP;Hsp70-Hsp90 organizing protein;stress inducible protein 1;hop;Hsp70(Hsp90) organizing protein;Hop;Hsp70/90-organizing protein homolog;dSTIP1
FBgn0020622	2L	297880	305233	5	Pi3K21B	FBgn0020262;FBgn0024844;p60;PI3K;dPI 3-kinase;PI 3-kinase;PI3-kinase;dPI3K;Pi3Kp60;CG2699;PI(3)K;droPIK57;PI3K21B;dP60;PI[[3]]K;PI3 kinase;Dp60;PI3K-p60;Pi3K21B|p60;dp60;Pi3k21B;deltap60;P60
FBgn0004611	2L	305935	355566	82	Plc21C	PLC-21C;PLC;CG4574;PLC[[Beta]];plc21;plc-21;PLC21C;phospholipase C;PLC-21;plc21c;Plcbeta21C;PLC21c;plc21C;plcbeta21c;Plc21;Phospholipase C 21C
FBgn0031248	2L	318362	319259	1	CG11912	FBgn0044771;SP140;anon-WO0140519.112
FBgn0031249	2L	320279	321248	1	CG11911	SP103
FBgn0053127	2L	322101	323091	1	CG33127	
FBgn0264086	2L	325522	329761	3	CG43755	CG31920;FBgn0051920;FBgn0044566;FBgn0045216;FBgn0047313;CG33992;FBgn0045202;FBgn0053992;CG31920;NEST:bs21f09;BcDNA:GH10778;anon-WO0140519.62;CG33992;NEST:bs23f04
FBgn0051921	2L	329910	332335	1	CG31921	FBgn0045363;NEST:bs08h12
FBgn0031250	2L	355565	357874	9	Ent1	FBgn0025211;CG11907;DmENT1;anon-fast-evolving-2G2;anon-EST:fe2G2;dENT1;ent1;DmEnt1;ENT1
FBgn0000061	2L	378112	387439	4	al	A1;CG3935;L13-4;AL;lambda13-4;Aristaless;Al
FBgn0031251	2L	396595	402198	10	CG4213	
FBgn0003278	2L	404285	407969	3	RpI135	FBgn0021812;RNA polymerase I;RP135;DmRP135;l(2)k16513;RpIII135;CG4033;RPI135;Rpl135
FBgn0263933	2L	415067	418536	3	ebi	FBgn0023444;FBgn0021820;FBgn0085068;Ebi;CG4063;FBXW4;beta transducin-like 1 protein;Tbl1;Tb11;l(2)k16213;E-2f;Enhancer on chromosome 2-complementation group 2g;E-2g
FBgn0031252	2L	418434	419652	1	CG13690	
FBgn0002593	2L	419952	420864	4	RpLP1	CG4087;RpP2;rpP2;M(2)21C;rp21C;M(2)21C1-2;rpa2;Ribosomal-protein-A2;Ribosomal protein A2;Minute(2)21C;Ribosomal protein P2;rpA2;RpA2;LP1;RLA1_DROME;Rplp1;ACIDIC RIBOSOMAL PROTEIN LP1;chr2L:420593..420726;RP21C;RPA2
FBgn0031253	2L	420895	421450	1	CG11885	FBgn0061458;BcDNA:AT13539
FBgn0031254	2L	421771	422489	2	CG13692	
FBgn0031255	2L	422873	425321	4	BBS8	BBS2;CG13691;Bardet-Biedl syndrome 8 ortholog
FBgn0004583	2L	431227	448701	10	ex	FBgn0000220;FBgn0000610;FBgn0002118;FBgn0010479;FBgn0021897;CG4114;l(2)01270;1270;l(2)ey;braille;Expanded;Ex;brl;expanded;EX
FBgn0015924	2L	448254	453024	20	crq	FBgn0011572;FBgn0044547;FBgn0051655;CG4280;Cd36;cqm;CD36-like;D-CD36;CG31655;anon-WO0140519.8;Croquemort;Crq;cqr;CRQ;Cqr;CD36
FBgn0031256	2L	453108	454654	2	shv	CG4164;shv;shriveled
FBgn0031257	2L	455531	458745	17	CG4133	
FBgn0031258	2L	458876	472200	2	CG4297	
FBgn0027592	2L	473013	476170	5	MED15	Arc105;Med9/ARC105;dARC105;CG4184;BcDNA:GH03922;Med15;med15;mediator15
FBgn0003963	2L	476220	540560	39	ush	CG2762;ushaped;dFOG;FOG;Ush;u-sh;l(2)19;U-shaped;Drosophila Friend of GATA;Friend of GATA;ZFPM2;USH
FBgn0043364	2L	476446	479688	4	cbt	FBgn0031259;CG4427;EP2237;EP(2)2237;TGF-beta-inducible early gene;dTIEG;cabot;Cabot;cabut;Cabut;Cbt
FBgn0010602	2L	540599	542580	4	lwr	FBgn0010523;FBgn0015755;FBgn0022761;ubc9;dUbc9;Ubc9;FBgn0010602;i56;i105;CG3018;dUBC9;DmUbc9;l(2)01519;semi;DUbc9;Dmubc9;dip4;UBC9;ubiquitin-conjugating enzyme 9;semushi;hbl;Ubiquitin conjugating enzyme 9;hunchback-like;Lesswright;Lwr;Ubc-9;l(2)05487;l(2)05486;l(2)02858;Ubc 9;Iwr;UbcD9
FBgn0031260	2L	542786	544653	3	Spp	shanti;spp;CG11840;Signal peptide protease;SPP;Signal Peptide Peptidase;signal peptide peptidase;DmSPP
FBgn0005660	2L	544925	552923	10	Ets21C	CG2914;ets21C;ets21c;Ets;D-ets-6;ETS6;D-Ets-6;Ets6;D-Ets6
FBgn0031261	2L	545129	547096	4	nAChRbeta3	CG11822-RA;CG11822-PA;CG11822-RB;CG11822-PB;nicotinic acetylcholine receptor beta 21C;CG11822;Dbeta3;nAcR-21Beta;nAChR;CT33131;nAcRbeta-21C;nAChR-beta21C
FBgn0260933	2L	553742	560310	12	rempA	FBgn0016923;FBgn0031262;Oseg3;RempA;IFT140;IFT40;CG11838;oseg3;remp;reduced mechanoreceptor potentials A;reduced mechanoreceptor potentials;OSEG3;CHE-11;OSEG;Che-11;REMPA
FBgn0031263	2L	559612	560523	2	Tspo	FBgn0025550;anon-EST:Posey116;CG2789;dTSPO;tspo
FBgn0031264	2L	560568	563819	3	CG11835	
FBgn0031265	2L	564163	566472	1	CG2794	
FBgn0021874	2L	566366	568121	4	Nle	FBgn0042663;notchless;l(2)k13714;anon-WO0026364;CG2863;nle
FBgn0031266	2L	568340	572907	4	Sf3b1	FBgn0025944;anon-21Cd;CG2807;SF3B;SF3B1
FBgn0031267	2L	573033	574264	1	Ipk2	CG13688;dmIpk2;ipk2
FBgn0031268	2L	574291	575734	6	cold	CG2813;cold;coiled;cg2813;leaky4
FBgn0013323	2L	575711	576896	8	Ptth	FBgn0031269;prothoracicotropic hormone;PTTH;Prothoracicotropic hormone;CG13687;ptth;prothoracicotopic hormone;phm
FBgn0023489	2L	577486	579549	3	Pph13	FBgn0008638;Mu;Munster;PPH13;CG2819;60Mun1;pph13;hazy;Pph13
FBgn0010323	2L	583540	594685	8	Gsc	FBgn0004887;FBgn0008637;FBgn0010598;gsc;D-gsc;D-Gsc;Pph25;60Mun2;l(2)05341;60Mun1;Muenster 72;PPH25;M72;CG2851;goosecoid;GSC
FBgn0031270	2L	602813	604430	4	CG13689	CG13689-RA;CG13689-PA
FBgn0031273	2L	625652	628200	1	CG2839	
FBgn0284247	2L	640013	714983	22	ds	FBgn0000497;FBgn0010499;Dachsous;l(2)01855;Ds;CT39575;l(2)05142;cadherin-2;cad2;CG17941;EP-822;dachs;Daschous;lethal (2) 01855;DS
FBgn0011244	2L	728362	730564	1	Hsp60B	FBgn0031274;FBgn0044567;Heat shock protein 60 related;152031_at;hsp60B;ms(2)21D;male sterile(2)21D;ms(2)06619;CG2830;anon-WO0140519.61;Hsp60b;Hsp 60 related;Hsp64;Dm21D;HSP60B;Hsp60
FBgn0026438	2L	737212	744395	13	Eaat2	dEAAT2;EAAT;sodium-dependent excitatory amino acid transporter 2;CG3159;dEaat2;excitatory amino acid transporter 2;Eaat 2;EAAT2
FBgn0031276	2L	773547	774017	1	CG12506	cg12506
FBgn0040725	2L	776536	776941	1	CG13946	
FBgn0031277	2L	779173	779655	1	CG13947	
FBgn0041250	2L	780482	782885	8	Gr21a	FBgn0031278;CG13948;Gr21D1;Gustatory receptor 21D.1;21D.1;GR21D.1;(GR) 21a;GR21D1;DmGr21a;GR21a;gr21a
FBgn0031279	2L	784336	788776	2	CG3544	
FBgn0000442	2L	786153	790798	5	Pkg21D	PKG-21D;dg1;PKG 21D;CG3324;DG1;PKG;cGMP;Pkg1;Dg1;pkg21D;cGMP-dependent protein kinase 21D;PKG1;PKG21D
FBgn0051658	2L	810577	811531	4	Nnf1b	CG31658;dmNnf1R-1;Nnf1-related protein 1
FBgn0086130	2L	811584	813380	2	Dbp21E2	FBgn0069404;FBgn0031280;CG3561;DmRH9;cg3561;KH1
FBgn0031281	2L	813314	815950	6	Saf6	SAF6;saf6;CG3883;dSaf6
FBgn0031282	2L	815993	818096	2	Pex12	CG3639;pex12;DmelPex12;peroxin 12;PEX12
FBgn0031283	2L	816994	817950	2	CG15880	
FBgn0031284	2L	818079	819508	2	PGAP2	CG3876
FBgn0015621	2L	819964	821209	1	Clp	FBgn0014034;CG3642;c6a;clp;CLP;Single stranded-binding protein c6a;Ssb-c6a;CPSF30;Cpsf30
FBgn0031285	2L	821289	824337	10	CG3662	CG3662-RA;CG3662-PA
FBgn0031286	2L	824329	825861	1	CG3862	RCC GEF-related protein
FBgn0010583	2L	825969	833241	12	dock	FBgn0041141;Dock;Nck;Dm0447;doc;dck;l(2)04723;CG3727;Dreadlocks;DOCK
FBgn0020304	2L	833584	851071	24	drongo	CG3365;DRONGO
FBgn0031287	2L	851251	852730	8	CG4291	
FBgn0020545	2L	852768	854539	4	kraken	CG3943;Kraken
FBgn0031288	2L	855337	856639	9	CG13949	FBgn0063756;BcDNA:AT06839
FBgn0031289	2L	860197	861806	6	CG13950	
FBgn0029095	2L	861849	868354	16	aru	FBgn0031290;CG4276;EPS8L3
FBgn0020305	2L	868673	869857	1	dbe	FBgn0022118;FBgn0022171;FBgn0024894;l(2)k06708;l(2)k05428;CG4258;DBE;Dribble;dribble
FBgn0053526	2L	870465	877038	11	PNUTS	FBgn0031291;FBgn0051657;CG4124;CG31657;PNUTSDm;CG33526;PNUTS-RB;Pnuts
FBgn0031292	2L	877172	885141	30	CG15824	
FBgn0002936	2L	877302	878270	2	ninaA	ninA;CG3966;NinaA;NINAA;either inactivation nor afterpotential A;Neither inactivation nor after potential
FBgn0002563	2L	898500	901316	4	Lsp1beta	Lsp1;Lsp1b;CG4178;DmeLSP1b;Lsp-1b;LSP-1beta;Lsp-1beta;LSP 1;LSP1beta;Lsp1-beta;LSP-1;LSP-1 beta;Lsp1beta;LSP1;Lsp1[beta];Larval serum protein 1[beta];Larval serum protein 1 beta;larval serum protein 1beta;Larval serum protein 1beta;larval serum protein 1
FBgn0046113	2L	914086	917805	11	GluRIIC	FBgn0031293;glutamate receptor;DGluR-IIC;DGluRIIC;CG4226;DGluRIII;Glutamate receptor III;CT13021;GluRIII;glutamate receptor III;GluRII-C;GLURIIC;GluR;DmelGluRIIC;GluRIIC/III;GlutRIII;GluR3;common type III glutamate receptor subunit;GluRC;essential glutamate receptor subunit III;glutamate receptor IIC;glutamate receptor subunit III
FBgn0028481	2L	922793	958098	19	CG4341	BcDNA:GH12144
FBgn0031295	2L	1026105	1026897	1	CG4375	FBgn0061457;BcDNA:AT13819
FBgn0031296	2L	1037246	1038685	2	CG4415	
FBgn0003310	2L	1049674	1077815	8	S	FBgn0010102;FBgn0010674;FBgn0069199;star;floater;CG4385;EK2-2;l(2)07056;l(2)05671;EY2-4;Enhancer of GMR-sina 2-4;ES2-4;Star/asteroid;fltr;lethal (2) c00080;l(2)c00080;l(2)rK134;l(2)k09538;l(2)21Eb;E(Raf)2B;EC2-2;Star;s
FBgn0015905	2L	1077948	1080803	3	ast	S[r];Star/asteroid;Star-recessive;CG4426;Ast
FBgn0031298	2L	1080911	1085380	6	Atg4a	CG4428;Autophagy-specific gene 4;Atg4;atg4;Atg4a;ATG4;APG4;AUT2;Autophagy-specific gene 4a
FBgn0031299	2L	1083091	1102504	14	CG4629	FBgn0063800;anon-WO0257455.15
FBgn0261938	2L	1103254	1108373	16	mtRNApol	FBgn0031300;FBgn0261273;mt RNA pol;CG4644;mtRNA-pol;POLRMT;mtRNAP
FBgn0031301	2L	1108540	1112694	7	CG14339	
FBgn0031302	2L	1112941	1114138	4	CG14340	
FBgn0016926	2L	1114654	1128953	7	Pino	FBgn0031303;FBgn0062225;CG4710;anon-WO0118547.131;smi21F;smell impaired 21F;pinocchio;smell impaired 21 F;smell imparied 21 F
FBgn0031304	2L	1129316	1132411	3	CG4552	
FBgn0031305	2L	1132332	1134098	1	Iris	CG4715;CG4715-env;Dm-cF
FBgn0031306	2L	1134693	1141156	10	CG4577	
FBgn0031307	2L	1143201	1147395	4	MFS3	CG4726
FBgn0283525	2L	1147822	1149449	1	l(2)10685	FBgn0010669;FBgn0031308;FBgn0061625;anon-WO0118547.81;CG4749
FBgn0031309	2L	1149445	1150677	5	Tfb4	TFB4;CG5041;p34;Dmp34;TFB4 ortholog
FBgn0031310	2L	1150766	1151764	1	Vps29	CG4764;DmVps29;Vps29;VPS29
FBgn0261458	2L	1151678	1158262	11	capt	CG5061-PA;CG5074-RA;CG5061-RA;CG5061;CG5074-PA;CG5074;FBgn0028388;FBgn0010632;FBgn0022262;FBgn0027062;FBgn0031311;FBgn0053979;FBtr0077983;FBpp0077648;FBtr0077984;FBpp0077649;FBgn0086304;CG5061;act up;CG33979;cyclase-associated protein;capping protein;CAP;Cap;acu;cap;Capt;Acap;Act up;Adenylyl cyclase-associated protein;l(2)06955;Dcap;CG5074;BcDNA:LD24380;Cyclase Associated Protein Capulet;Cyclase-associated protein;Capulet;punc;punctate;CP
FBgn0031312	2L	1158661	1160220	4	Tango14	FBgn0062416;CG4775;TANGO14;l(2)k00619;lethal (2) k00619;BcDNA:SD10843;Tango 14
FBgn0031313	2L	1160290	1163886	12	CG5080	CT16297
FBgn0031314	2L	1164443	1166425	2	IntS14	CG4785;Q9VPY0;IntS14
FBgn0031315	2L	1166506	1167211	2	CG14341	
FBgn0024314	2L	1167172	1170365	12	Plap	FBgn0031316;CG5105;dPLAP;dmPLAP;plap;UFD3
FBgn0051922	2L	1170181	1170789	3	CG31922	FBgn0044376;20K;anon-AE003587.1
FBgn0031317	2L	1170753	1172805	4	Charon	FBgn0044774;anon-WO0140519.11;CG5118;pickle
FBgn0031318	2L	1173009	1177589	13	CG4887	cg4887
FBgn0031319	2L	1177690	1182454	34	CG4896	cg4896
FBgn0031320	2L	1182297	1184020	2	CG5126	
FBgn0031321	2L	1184065	1185698	2	Tgt	CG4947;TGT;tgt
FBgn0031322	2L	1185757	1196807	13	CG5001	CG5001-RA;CG5001-PA
FBgn0031323	2L	1198465	1199266	1	CG5139	
FBgn0263080	2L	1199412	1199924	2	CG43348	CG43180;chr2L_1199311_1199719.0
FBgn0263081	2L	1200205	1200663	2	CG43349	
FBgn0040723	2L	1200671	1201220	2	CG5011	
FBgn0031324	2L	1204215	1205250	4	CG14342	
FBgn0259229	2L	1219293	1229802	8	CG42329	FBgn0031325;FBgn0031326;CG5156;CG14343;CG14343;CG5156;CT16503
FBgn0031327	2L	1240036	1243018	4	CG5397	CT16527
FBgn0041097	2L	1256417	1296596	24	robo3	FBgn0031328;FBgn0031330;CG5423;Robo-3;Robo3;CT17158;dRobo-3;CG14345;robo3;Robo 3;ROBO3;Roundabout 3;roundabout 3;robo-3;robo
FBgn0011294	2L	1329161	1329993	2	a5	A5;CG5430
FBgn0031331	2L	1334128	1335514	3	CG5440	
FBgn0053923	2L	1341365	1342095	4	CG33923	
FBgn0053922	2L	1343443	1344171	4	CG33922	
FBgn0026141	2L	1344400	1345135	3	Cdlc2	FBgn0044766;dynein;Cytoplasmic dynein;cytoplasmic dynein;8kd dynein light chain;CG5450;dlc;anon-WO0140519.117;Cyto dynein light chain 2;Cdcl2;Dlc
FBgn0031332	2L	1351728	1352868	3	CG5556	
FBgn0031333	2L	1352970	1354109	2	CG5561	
FBgn0051924	2L	1354101	1354919	1	CG31924	FBgn0031334;FBgn0063290;CG5564;BcDNA:AT29272;21064207
FBgn0031335	2L	1354911	1355924	2	CG5565	28557659
FBgn0051659	2L	1358925	1359790	9	CG31659	FBgn0031336;CG16933
FBgn0053126	2L	1359837	1361821	13	NLaz	FBgn0031336;FBgn0063669;CT33980;CG16933;CG33126;BcDNA:RE67583;Nlaz;DNLaz;neural Lazarillo
FBgn0031337	2L	1367996	1369050	9	CG14346	
FBgn0002543	2L	1380086	1420453	28	robo2	FBgn0024195;FBgn0025977;FBgn0031338;FBgn0031339;FBgn0031340;FBgn0031341;Robo2;lea;robo2;roundabout 2;CG5481;Roundabout 2;Robo-2;Robo 2;CT17326;dRobo-2;robo-2;D-Robo2;D-robo2;clone 1.75;Roundabout2;anon-EST:Liang-1.75;CG5574;CG14348;CG14347;Leak;ROBO2;fus4;roundabout2;SGP cluster fusion defects 4;Robo2 (Lea);leak;robo
FBgn0263320	2L	1428474	1429159	2	CG43401	
FBgn0263321	2L	1442627	1443832	2	CG43402	
FBgn0051928	2L	1492295	1493859	2	CG31928	FBgn0031342;CG10872
FBgn0053128	2L	1494070	1495456	1	CG33128	FBgn0031342;CG10872;aspartic-type endopeptidase
FBgn0051926	2L	1495460	1497071	2	CG31926	FBgn0031342;CG10872;aspartic-type endopeptidase
FBgn0051661	2L	1497243	1498583	1	CG31661	FBgn0031342;CG10872;aspartic-type endopeptidase
FBgn0031343	2L	1498455	1500608	10	CG18131	FBgn0061462;BcDNA:AT12853
FBgn0031344	2L	1500784	1502904	8	CG7420	
FBgn0031345	2L	1516795	1517478	1	CG18132	
FBgn0001174	2L	1517533	1518148	1	halo	FBgn0031346;CG7428
FBgn0026398	2L	1520491	1522156	4	Or22a	22a;DOR22a;DOR53;CG12193;AN11;22A.1;Dor53;dor53;Olfactory receptor 22A.1;DOR22A.1;Odorant receptor 53;Or53;Or22A.1;OR22a;Dmel Or22a;Dmel22a;dOr22a;DmOr22a;Or22a/b;Or22
FBgn0026397	2L	1522697	1524257	4	Or22b	22b;DOR22b;DOR67;CG4231;AN12;22A.2;DOR22A.2;Dor67;dor67;Olfactory receptor 22A.2;Odorant receptor 67;Or67;Or22A.2;OR22b;Dmel Or22b;dOr22b;Or22a/b;or22b;Or22
FBgn0261509	2L	1555129	1609389	41	haf	FBgn0260797;FBgn0031349;CG14351;tartan/capricious-like;CT33985
FBgn0031347	2L	1584866	1587155	2	CG10869	nis;no individualized sperm
FBgn0051935	2L	1594822	1611157	5	CG31935	FBgn0031348;FBgn0031350;CG7373;CG10870
FBgn0031351	2L	1611410	1612576	2	CG14352	
FBgn0021906	2L	1612429	1614160	9	RFeSP	FBgn0025542;FBgn0031352;RfeSP;CG7361;H;l(2)k11704;anon-EST:Posey219;Ubiquinol-cytochrome c oxidoreductase Iron-sulfur;Ubiquinol-cytochrome c reductase Iron-sulfur subunit;RISP;Rieske iron sulfur protein;Rieske Iron-Sulfur Protein;Noble;Rieske iron sulphur protein;Not out of the blue;RIESKE IRON-SULFUR PROTEIN;Rieske iron- sulfur protein of complex III;UCRI;Ubiquinol-cytochrome C reductase iron-sulfur subunit;UQCR-RFeSP;Ubiquinol-cytochrome c reductase Rieske iron sulfur protein;Rieske
FBgn0086758	2L	1651258	1704682	30	chinmo	FBgn0082597;FBgn0010566;FBgn0051666;FBgn0031353;FBgn0031354;FBgn0031355;Chinmo;chronologically inappropriate morphogenesis;F;lethal (2) 04111;l(2)04111;CG10871;CG17156;CG17649;CG31666;chronologically -inappropriate morphogenesis
FBgn0011570	2L	1704902	1706962	4	cpb	FBgn0015012;FBgn0061517;bnd;capping protein;capping protein beta;CP;CapZ;CP-beta;CG17158;J;CP beta subunit;burned;Capping-protein-beta;Ancpbeta;Cpb;Capping protein beta;Capping protein;CapZbeta;Capping Protein;CPB;capping proteinbeta;CAPB_DROME;actin capping protein beta;capping protein Beta;Capping proteins beta;F-actin capping protein;Cap2;cpbeta
FBgn0031356	2L	1707132	1710421	10	CG17660	
FBgn0031357	2L	1710462	1711465	6	mRpL48	CG17642;MRP-L48
FBgn0086698	2L	1711302	1715851	15	frtz	FBgn0031358;FBgn0020302;FBgn0062241;CG17657;fritz;anon-WO0118547.105
FBgn0031359	2L	1716244	1724388	19	Rim2	CG18317;drim2;Rim2 ortholog
FBgn0000579	2L	1724768	1729636	9	Eno	FBgn0045789;FBgn0045874;CG17654;phosphopyruvate hydratase;T18;CT32526;Eno2;ENOA;BEST:LD15491;anon-WO0153538.76;eno;enolase;DmENO
FBgn0260648	2L	1728732	1729762	2	Rrp40	FBgn0064224;FBgn0051938;dRrp40;CG31938;Rrp40
FBgn0031360	2L	1729887	1731070	1	CG31937	FBgn0051937;CG17711;CT39259
FBgn0031361	2L	1731033	1732356	6	CG17652	
FBgn0264494	2L	1732524	1750612	22	CG17646	FBgn0065927;FBgn0031362;FBgn0031363;FBgn0043837;lethal (2) SH0142;l(2)SH0142;l(2)SH2 0142;ATP-binding cassette transporter G1;ABCG1;BEST:GH05015;CG17647
FBgn0027597	2L	1750687	1752122	1	CG17712	BcDNA:GH03377
FBgn0031364	2L	1752308	1752848	1	CG17648	FBgn0063283;BcDNA:GH02930
FBgn0041249	2L	1755253	1756451	2	Gr22f	FBgn0051932;Gr22B1;GR22b1;Gustatory receptor 22B.1;GR22B.1;22B.1;CG31932;GR22f
FBgn0031365	2L	1758286	1759093	2	CG17650	
FBgn0045497	2L	1784062	1785286	2	Gr22e	FBgn0045494;FBgn0051936;Gustatory receptor 2940.1;Gr2940.1;CG31936;GR22e
