CDS_name	CDS_loc	length	gene_name
CG13362-PA	X:complement(join(749826..750714,750773..750834,751152..751169));	969	CG13362
Hmt4-20-PA	X:complement(join(650050..653238,653370..654083));	3903	Hmt4
RpL36-PA	X:complement(join(628462..628686,628751..628873));	348	RpL36
CG13364-PA	X:complement(624896..625090);	195	CG13364
CG13365-PA	X:complement(620801..621145);	345	CG13365
CG13366-PA	X:complement(join(611252..611341,611411..611685,611751..612033,612092..612211,612282..612433,612496..613774,613847..614023,614573..614713,614774..615109));	2853	CG13366
CG13366-PB	X:complement(join(611252..611341,611411..611685,611751..612033,612092..612211,612282..612433,612496..613774,613847..614023,614573..614713,614774..615541));	3285	CG13366
CG13366-PD	X:complement(join(611252..611341,611411..611685,611751..612033,612092..612208,612282..612433,612496..613774,613847..614023,614573..614713,614774..615109));	2850	CG13366
CG13366-PG	X:complement(join(608449..608514,611411..611685,611751..612033,612092..612211,612282..612433,612496..613774,613847..614023,614573..614713,614774..615109));	2829	CG13366
CG14634-PB	X:862792..863073;	282	CG14634
CG11664-PA	X:875732..876496;	765	CG11664
CG11663-PA	X:894606..895064;	459	CG11663
MED22-PA	X:join(928216..928327,928384..928485,928550..928767);	432	MED22
CG32815-PC	X:join(933539..934474,934541..934681,937941..938012);	1149	CG32815
TRAM-PB	X:936349..937455;	1107	TRAM
mus81-PA	X:941194..942474;	1281	mus81
CG18823-PA	X:990582..990902;	321	CG18823
CG14631-PA	X:1012113..1012511;	399	CG14631
CG3021-PA	X:join(1026893..1027546,1027635..1028150);	1170	CG3021
CG14629-PA	X:1051540..1052499;	960	CG14629
CG14628-PA	X:1145678..1146103;	426	CG14628
CG3655-PA	X:complement(join(1075503..1076300,1076433..1077097,1077210..1077438));	1692	CG3655
CG3655-PC	X:complement(join(1075404..1076300,1076433..1077097,1077210..1077438));	1791	CG3655
CDC45L-PA	X:complement(join(1028548..1029364,1029417..1030327));	1728	CDC45L
CG11638-PA	X:complement(join(1014907..1015079,1015140..1015349,1015469..1016246,1016521..1016523));	1164	CG11638
TfIIA-S-2-PA	X:complement(join(1011141..1011392,1011474..1011545));	324	TfIIA
CG3690-PA	X:complement(join(949430..949485,949544..949671,949733..949892,949958..950250,950364..950599,950658..950839,951197..951375,951440..951882));	1677	CG3690
CG3699-PA	X:complement(946729..947484);	756	CG3699
CG3703-PA	X:complement(join(942607..942796,943302..944096,944396..945546));	2136	CG3703
CG3704-PA	X:complement(join(939464..939676,939733..940086,940152..940733));	1149	CG3704
CG3706-PA	X:complement(931028..932362);	1335	CG3706
CG3708-PB	X:complement(928896..929984);	1089	CG3708
CG3713-PA	X:complement(846852..847103);	252	CG3713
CG32814-PB	X:complement(join(1020530..1020568,1020892..1021587));	735	CG32814
CG11378-PA	X:join(1171524..1171698,1171816..1172579);	939	CG11378
CG11379-PA	X:1180264..1180869;	606	CG11379
CG14627-PA	X:1182102..1182914;	813	CG14627
CG14626-PA	X:join(1185085..1185087,1186759..1187126,1187851..1188508);	1029	CG14626
CG11380-PA	X:join(1191693..1191713,1194198..1194595,1194664..1195954);	1710	CG11380
CG14625-PB	X:join(1199618..1199671,1200625..1200847,1200928..1202921);	2271	CG14625
CG11381-PA	X:join(1203862..1203879,1203934..1205226);	1311	CG11381
CG14624-PA	X:1206769..1207461;	693	CG14624
CG11382-PB	X:1210097..1211614;	1518	CG11382
CG32812-PA	X:1288046..1288723;	678	CG32812
fs(1)N-PA	X:join(1322574..1322714,1322773..1324809,1324868..1324997,1325055..1325185,1325244..1327014,1327069..1327277,1327338..1329275);	6357	fs(1)N
Naa30A-PA	X:join(1342492..1343214,1343290..1343535,1343779..1343943);	1134	Naa30A
Naa30A-PD	X:join(1342492..1342529,1342587..1343214,1343290..1343535,1343779..1343943);	1077	Naa30A
Tsp2A-PA	X:1347280..1348014;	735	Tsp2A
CG11417-PA	X:1354095..1356410;	2316	CG11417
CG14770-PA	X:join(1369360..1369374,1369613..1370053);	456	CG14770
ssx-PB	X:join(1371308..1371370,1371451..1371774,1371915..1372022,1372086..1372267,1372461..1373115);	1332	ssx
ssx-PC	X:join(1371308..1371370,1371451..1371774,1371874..1371990);	504	ssx
ssx-PD	X:join(1371308..1371370,1371451..1371774,1371915..1372022,1372086..1372267,1372461..1373047,1373158..1373351);	1458	ssx
AMPKalpha-PA	X:join(1375909..1376187,1376696..1378165);	1749	AMPKalpha
CG32813-PD	X:join(1389629..1390057,1390276..1391565);	1719	CG32813
CG32813-PH	X:join(1389629..1390057,1390249..1391565);	1746	CG32813
Rilpl-PA	X:join(1393544..1394158,1394224..1394714,1395098..1395193,1395246..1395375);	1332	Rilpl
Rilpl-PB	X:join(1393544..1394158,1394224..1394714,1395083..1395193,1395246..1395375);	1347	Rilpl
Rilpl-PC	X:join(1393544..1394158,1394224..1394714,1395098..1395193,1395246..1395371,1395553..1395685);	1461	Rilpl
Lrpprc2-PA	X:complement(join(1457279..1458201,1458263..1460558));	3219	Lrpprc2
CG14785-PA	X:complement(join(1455407..1455695,1455750..1455949,1456023..1456946));	1413	CG14785
CG3719-PA	X:complement(join(1379076..1379372,1380138..1380323));	483	CG3719
png-PA	X:complement(1356658..1357533);	876	png
CG12773-PA	X:complement(join(1350878..1351037,1351102..1351280,1351345..1351926,1351994..1352228,1352286..1352487,1352654..1353198,1353253..1353488));	2139	CG12773
CG12773-PB	X:complement(join(1350878..1351037,1351102..1351280,1351345..1351926,1351994..1352228,1352286..1352487,1352654..1353198,1353256..1353488));	2136	CG12773
MTPAP-PA	X:complement(join(1345241..1346120,1348222..1349077,1349144..1349246));	1839	MTPAP
MTPAP-PB	X:complement(1345241..1346107);	867	MTPAP
CG11409-PB	X:complement(join(1329791..1333436,1333503..1333696));	3840	CG11409
DAAM-PB	X:complement(join(1290446..1291344,1291405..1291568,1291626..1291787,1291844..1291986,1292052..1292257,1292321..1293016,1293080..1293257,1293318..1294286,1295010..1295054));	3462	DAAM
DAAM-PA	X:complement(join(1290446..1291344,1291405..1291568,1291626..1291787,1291844..1291986,1292052..1292257,1292321..1293016,1293080..1293257,1293318..1294214));	3345	DAAM
DAAM-PD	X:complement(join(1290446..1291344,1291405..1291568,1291626..1291787,1291844..1291986,1292052..1292257,1292321..1293016,1293080..1293257,1293318..1294286,1295010..1295936,1308076..1308123));	4392	DAAM
CG32811-PB	X:complement(1298098..1298331);	234	CG32811
Atf3-PA	X:complement(join(1246515..1248008,1251172..1251261,1251340..1251597));	1842	Atf3
Atf3-PB	X:complement(join(1246290..1248008,1251172..1251261,1251340..1251597));	2067	Atf3
CG11403-PA	X:complement(join(1237075..1237707,1237766..1237963,1238028..1239782));	2586	CG11403
CG11398-PA	X:complement(join(1213939..1214792,1214943..1215078));	990	CG11398
CG11384-PA	X:complement(1174245..1176011);	1767	CG11384
eIF4E7-PA	X:complement(1158816..1160105);	1290	eIF4E7
CG14777-PB	X:join(1467811..1467964,1468052..1468185,1468251..1468382,1468447..1468617);	591	CG14777
CG14778-PA	X:join(1469818..1469953,1470015..1470097,1470157..1470339,1470402..1470560);	561	CG14778
CG14780-PA	X:join(1472566..1472816,1472876..1473170,1473236..1473598);	909	CG14780
rush-PA	X:1479239..1480189;	951	rush
inc-PB	X:join(1513463..1513648,1514483..1514668,1514727..1514792,1514857..1515041,1515378..1515390);	636	inc
dor-PA	X:join(1665123..1665411,1665474..1666132,1666187..1667612,1667674..1667825,1667888..1668370);	3009	dor
hfw-PA	X:join(1669920..1669937,1670816..1671729,1671787..1672297,1672364..1672756);	1836	hfw
CG14797-PB	X:join(1683745..1683760,1683829..1684024,1684078..1684456);	591	CG14797
CG14797-PC	X:join(1683670..1683760,1683829..1684024,1684078..1684456);	666	CG14797
b6-PA	X:join(1686777..1687317,1688481..1688574,1688649..1688769,1688902..1689123,1689180..1689878);	1677	b6
Scgdelta-PA	X:complement(join(1746391..1746579,1746687..1746810,1748032..1748293,1749697..1749817,1749895..1750413));	1215	Scgdelta
CG3795-PA	X:complement(join(1709089..1709439,1709505..1709775,1709841..1710136));	918	CG3795
a6-PA	X:complement(1694243..1695472);	1230	a6
CG3740-PA	X:complement(join(1668524..1668744,1668808..1669009));	423	CG3740
Mur2B-PA	X:complement(join(1552391..1552527,1552611..1554563,1554668..1557593,1557659..1557772,1557915..1558172));	5388	Mur2B
Mur2B-PB	X:complement(join(1524308..1524318,1552611..1552736,1554668..1557593,1557659..1557772,1557915..1558172));	3435	Mur2B
CG14795-PB	X:complement(join(1512296..1512357,1512413..1512595,1512661..1512766));	351	CG14795
sta-PA	X:complement(join(1481887..1482480,1482673..1482891));	813	sta
Rab27-PB	X:complement(join(1473977..1474510,1474675..1474794,1476256..1476312));	711	Rab27
Rab27-PC	X:complement(join(1473977..1474510,1474675..1474833));	693	Rab27
CG32808-PA	X:complement(join(1468730..1469098,1469161..1469646));	855	CG32808
O-fut2-PA	X:complement(1464507..1465979);	1473	O
CG14787-PA	X:complement(1460863..1461645);	783	CG14787
CG32806-PA	X:join(1789666..1789679,1789730..1790333);	618	CG32806
MED18-PA	X:join(1866014..1866138,1866209..1866495,1866563..1866804);	654	MED18
MED18-PC	X:join(1866014..1866138,1866186..1866213);	153	MED18
CG14803-PA	X:join(1868923..1869242,1869298..1869878,1869944..1872351);	3309	CG14803
CG14803-PB	X:join(1868923..1869227,1869298..1869878,1869944..1872351);	3294	CG14803
Vps26-PA	X:join(1874138..1874281,1874361..1875653);	1437	Vps26
CG14805-PA	X:join(1877427..1878197,1878255..1879004);	1521	CG14805
CG14806-PA	X:join(1880573..1880623,1880683..1880946,1881020..1881235);	531	CG14806
mRpL16-PA	X:join(1890347..1890395,1890478..1890543,1890613..1891229);	732	mRpL16
mip130-PA	X:join(1908353..1908355,1916977..1919934);	2961	mip130
Rbcn-3B-PA	X:1910757..1915334;	4578	Rbcn
Ocrl-PA	X:join(1923758..1923865,1924099..1924285,1924528..1924789,1924851..1925036,1925103..1925435,1925503..1926379,1926446..1926632,1926694..1926918,1926979..1927166);	2553	Ocrl
CG11596-PB	X:join(1928365..1928580,1929001..1929170,1929244..1929384,1929454..1929711,1929773..1930193);	1206	CG11596
CG11596-PC	X:join(1927786..1927919,1928334..1928580,1929001..1929170,1929244..1929384,1929454..1929711,1929773..1930193);	1371	CG11596
CG11596-PA	X:join(1927786..1927919,1928334..1928580,1929052..1929170,1929244..1929384,1929454..1929711,1929773..1930193);	1320	CG11596
CG3587-PA	X:join(1940387..1940651,1940710..1941056,1941124..1941411);	900	CG3587
CG4194-PA	X:2068607..2069401;	795	CG4194
Rtca-PA	X:2073711..2074796;	1086	Rtca
CG4045-PA	X:complement(join(2074867..2074971,2075038..2075139,2075207..2075618,2075669..2075820));	771	CG4045
CG4199-PC	X:complement(join(2066709..2068423,2071360..2071426));	1782	CG4199
CG4199-PA	X:complement(2066709..2068367);	1659	CG4199
CG14054-PA	X:complement(join(2065454..2065703,2065758..2065891,2065945..2066088,2066149..2066238));	618	CG14054
CG4281-PA	X:complement(join(2062735..2062891,2062947..2064488,2064547..2064820,2064874..2064991));	2091	CG4281
Sik2-PA	X:complement(join(2055918..2056025,2056120..2057767,2057829..2057923,2057984..2058265,2058321..2059418,2059475..2059761,2059965..2060028,2060099..2060713));	4197	Sik2
moody-PA	X:complement(join(2045135..2045949,2046016..2046983,2047051..2047191,2047558..2047646));	2013	moody
moody-PC	X:complement(join(2045244..2045947,2046016..2046983,2047051..2047191,2047558..2047646));	1902	moody
CG4325-PA	X:complement(join(2043059..2043413,2043606..2043727));	477	CG4325
Actn-PC	X:complement(join(2025541..2025699,2025775..2026909,2027284..2027462,2027521..2027871,2027935..2028027,2029775..2029926,2030215..2030368,2030443..2030859,2034955..2035068));	2754	Actn
Actn-PB	X:complement(join(2025541..2025699,2025775..2026909,2027284..2027462,2027521..2027871,2027935..2028027,2029841..2029926,2030215..2030368,2030443..2030859,2034955..2035068));	2688	Actn
Actn-PA	X:complement(join(2025541..2025699,2025775..2026909,2027284..2027462,2027521..2027871,2027935..2028027,2028665..2028750,2030215..2030368,2030443..2030859,2034955..2035068));	2688	Actn
Actn-PF	X:complement(join(2025541..2025699,2025775..2026909,2027184..2027189,2027284..2027462,2027521..2027871,2027935..2028027,2028665..2028750,2030215..2030368,2030443..2030859,2034955..2035068));	2694	Actn
usp-PA	X:complement(2039387..2040913);	1527	usp
PIG-K-PA	X:complement(join(2007978..2008068,2008129..2008289,2008351..2008461,2008514..2008631,2008710..2009296));	1068	PIG
CG3857-PA	X:complement(1938491..1939954);	1464	CG3857
eIF2Bepsilon-PA	X:complement(join(1920552..1920767,1920829..1921115,1921181..1922469,1922543..1922667,1922731..1922823));	2010	eIF2Bepsilon
Edem1-PC	X:complement(join(1904541..1906235,1906306..1907434,1907495..1907619));	2949	Edem1
Edem1-PE	X:complement(join(1904212..1904281,1904545..1906235,1906306..1907434,1907495..1907619));	3015	Edem1
CG32801-PA	X:complement(join(1902152..1902462,1902622..1902787));	477	CG32801
trr-PC	X:complement(join(1882156..1882248,1882319..1882501,1882556..1882685,1882742..1883337,1883417..1883941,1884007..1889294,1889358..1889775));	7233	trr
trr-PD	X:complement(join(1882156..1882248,1882319..1882501,1882556..1882685,1882742..1883337,1883417..1883941,1884007..1889775));	7296	trr
CG14818-PA	X:complement(join(1879139..1879350,1879412..1879490));	291	CG14818
CG14817-PA	X:complement(join(1876762..1876911,1876969..1877139));	321	CG14817
Pgam5-PA	X:complement(join(1872595..1872906,1872973..1873530));	870	Pgam5
Pgam5-PB	X:complement(join(1872595..1872903,1872973..1873530));	867	Pgam5
Pex5-PA	X:complement(join(1867008..1868714,1868787..1868924));	1845	Pex5
Pex5-PB	X:complement(1867008..1868687);	1680	Pex5
CG14814-PB	X:complement(join(1862328..1862643,1862703..1862960,1863027..1863705,1863769..1864107,1864170..1865736));	3159	CG14814
CG14814-PA	X:complement(join(1862328..1862643,1862703..1862960,1863027..1863705,1863769..1864107,1864170..1865622,1865689..1865736));	3093	CG14814
deltaCOP-PA	X:complement(join(1859519..1859813,1859871..1859982,1860057..1860370,1860427..1860624,1860686..1861098,1861156..1861379,1861446..1861485,1861595..1861597));	1599	deltaCOP
deltaCOP-PB	X:complement(join(1859519..1859813,1859871..1859982,1860057..1860370,1860427..1860621,1860686..1861098,1861156..1861379,1861446..1861485,1861595..1861597));	1596	deltaCOP
CG14812-PA	X:complement(join(1858319..1858406,1858561..1858678,1858736..1858797,1858868..1858902));	303	CG14812
CG14811-PB	X:complement(join(1821500..1822171,1822236..1822277));	714	CG14811
CG4025-PA	X:join(2077083..2077147,2077218..2077339,2077452..2077839,2077908..2078073);	741	CG4025
Unc-76-PB	X:join(2081106..2081659,2090969..2091450,2091518..2091733,2091802..2091891,2091962..2092044);	1425	Unc
Unc-76-PD	X:join(2090970..2091450,2091518..2091733,2091802..2091891,2091962..2092044);	870	Unc
csw-PA	X:join(2094405..2094418,2095010..2095197,2095270..2095396,2108380..2108542,2109235..2109414,2109483..2109600,2109729..2110666,2110745..2110835,2110950..2111139,2111205..2111623,2111704..2111801);	2526	csw
csw-PB	X:join(2103147..2103775,2108380..2108542,2109235..2109414,2109483..2109600,2109729..2110666,2110745..2110835,2110950..2111139,2111205..2111733);	2838	csw
csw-PC	X:join(2108528..2108542,2109235..2109414,2109483..2109600,2109729..2110666,2110745..2110835,2110950..2111139,2111205..2111623,2111704..2111801);	2049	csw
csw-PD	X:join(2094768..2094940,2095010..2095197,2095270..2095396,2108380..2108542,2109235..2109414,2109483..2109600,2109729..2110666,2110745..2110835,2110950..2111139,2111205..2111623,2111704..2111801);	2685	csw
D2hgdh-PB	X:join(2143057..2143248,2143311..2143452,2143527..2144220,2144287..2144860);	1602	D2hgdh
Pgd-PA	X:join(2145407..2145414,2145490..2145713,2147175..2148388);	1446	Pgd
CG3630-PA	X:join(2168189..2168233,2170789..2171085,2171155..2171928);	1116	CG3630
CG3630-PB	X:join(2170816..2171085,2171155..2171928);	1044	CG3630
ND-B14.5A-PA	X:join(2172643..2172705,2172806..2173054);	312	ND
Cyp4d2-PA	X:join(2176907..2177063,2177151..2177537,2177594..2177663,2177721..2178280,2178337..2178668);	1506	Cyp4d2
Cyp4ae1-PA	X:join(2179097..2179262,2179317..2179770,2179826..2180358,2180420..2180757);	1491	Cyp4ae1
pn-PA	X:join(2181300..2181347,2181416..2182585);	1218	pn
CG17776-PA	X:2184965..2185177;	213	CG17776
CG17777-PB	X:join(2186929..2186940,2187148..2187468);	333	CG17777
CG3457-PA	X:2187897..2188475;	579	CG3457
Mct1-PA	X:join(2198802..2198943,2199820..2199939,2200005..2200606,2200675..2200869,2200936..2201061,2204107..2204437,2204509..2204709,2204765..2204928);	1881	Mct1
CG14052-PB	X:join(2223851..2223868,2223938..2224005,2224260..2224665);	492	CG14052
pcx-PE	X:join(2225711..2225863,2225906..2226227,2226282..2227232,2227322..2230333,2230390..2231847,2231998..2232158,2232220..2232619,2232680..2233026,2233083..2235515,2235579..2236595);	10254	pcx
pcx-PF	X:join(2225711..2225863,2225918..2226227,2226282..2227232,2227322..2230333,2230390..2231847,2231998..2232158,2232220..2232619,2232680..2233026,2233083..2235515,2235579..2236595);	10242	pcx
fs(1)K10-PA	X:join(2242309..2243604,2244457..2244552);	1392	fs(1)K10
Or2a-PA	X:join(2246231..2247373,2247444..2247494);	1194	Or2a
CG3071-PA	X:join(2262896..2262988,2263057..2264571);	1608	CG3071
CG2854-PA	X:join(2327207..2327608,2327780..2328853);	1476	CG2854
Raf-PA	X:join(2340886..2341048,2341178..2342139,2342204..2342344,2342413..2342786,2342852..2343431);	2220	Raf
CG2841-PB	X:complement(join(2345534..2348877,2348945..2349247,2349342..2349399));	3705	CG2841
CG2841-PF	X:complement(join(2345534..2348877,2348945..2349247,2349327..2349399));	3720	CG2841
mRpL14-PA	X:complement(2344050..2344535);	486	mRpL14
Ilp6-PA	X:complement(join(2331738..2331847,2331926..2332139));	324	Ilp6
CG14050-PA	X:complement(join(2324826..2325305,2325391..2325690));	780	CG14050
CG2865-PA	X:complement(join(2281578..2282517,2292325..2292689));	1305	CG2865
CG2918-PA	X:complement(join(2271491..2273951,2274026..2274336));	2772	CG2918
CG2924-PA	X:complement(join(2265785..2265816,2265877..2265955,2266036..2266184,2266248..2266539,2266597..2266671,2266820..2267107,2267177..2267293,2268938..2269099));	1194	CG2924
temp-PA	X:complement(join(2260694..2261415,2261466..2261854,2261951..2262036));	1197	temp
CG3078-PA	X:complement(join(2255740..2256101,2256160..2257495,2257880..2258266,2258328..2258474));	2232	CG3078
CG3078-PB	X:complement(join(2255740..2256101,2256160..2257498,2257880..2258266,2258328..2258474));	2235	CG3078
CG3078-PC	X:complement(join(2255722..2256101,2256160..2257495,2257880..2258266,2258328..2258474));	2250	CG3078
CG3078-PD	X:complement(join(2255674..2256101,2256160..2257495,2257880..2258266,2258328..2258474));	2298	CG3078
CG3191-PA	X:complement(join(2250306..2250387,2250444..2250580,2250647..2250949,2251013..2251094,2251195..2251354,2251672..2251837));	930	CG3191
crn-PA	X:complement(join(2247697..2249769,2249828..2249863));	2109	crn
kz-PA	X:complement(join(2238073..2238173,2238234..2238436,2238499..2241506,2241568..2241759,2241828..2241902));	3579	kz
Vinc-PA	X:complement(join(2215015..2215122,2215255..2215653,2215713..2215843,2215905..2218095,2220373..2220429));	2886	Vinc
FarO-PA	X:complement(join(2201915..2202005,2202060..2202206,2202273..2202843,2202899..2203008,2203133..2203221,2203289..2203795));	1515	FarO
CG14053-PA	X:complement(2192278..2192970);	693	CG14053
Nmd3-PA	X:complement(join(2182913..2183549,2183610..2184538));	1566	Nmd3
Cyp4d14-PA	X:complement(join(2173497..2174400,2174464..2174920,2175074..2175236));	1524	Cyp4d14
Cyp4d14-PB	X:complement(join(2173497..2174400,2174464..2174920,2175065..2175236));	1533	Cyp4d14
Cyp4d1-PB	X:complement(join(2159215..2159564,2159625..2160248,2161581..2162118));	1512	Cyp4d1
Cyp4d1-PA	X:complement(join(2159215..2159564,2159625..2160248,2160383..2160947));	1539	Cyp4d1
wapl-PA	X:complement(join(2150877..2151152,2151272..2151462,2151523..2151611,2151677..2151846,2151917..2152759,2153114..2155726,2156389..2157432));	5226	wapl
wapl-PB	X:complement(join(2150877..2151152,2151272..2151462,2151523..2151611,2151677..2151846,2151917..2152759,2153114..2154823));	3279	wapl
bcn92-PA	X:complement(join(2148766..2148843,2149221..2149341,2149402..2149481));	279	bcn92
ph-p-PA	X:complement(join(2126809..2127560,2127624..2129407,2129467..2129917,2129979..2131726,2136017..2136051));	4770	ph
ph-p-PB	X:complement(join(2126809..2127560,2127624..2129407,2129467..2129917,2129979..2131032));	4041	ph
ph-d-PA	X:complement(join(2116866..2117617,2117681..2119491,2119551..2120001,2120063..2121624,2121687..2121724));	4614	ph
ph-d-PB	X:complement(join(2116866..2117617,2117681..2119491,2119551..2120001,2120063..2121128));	4080	ph
CG16903-PA	X:complement(join(2078489..2078774,2078832..2079644,2079715..2080298));	1683	CG16903
AANATL7-PA	X:2583040..2583726;	687	AANATL7
wds-PA	X:join(2586279..2586549,2586761..2587386,2587441..2587629);	1086	wds
egh-PC	X:join(2596215..2597015,2597327..2597899);	1374	egh
Seipin-PA	X:join(2620310..2620593,2620825..2621312,2621379..2621719);	1113	Seipin
brv3-PC	X:complement(join(2622192..2623514,2623595..2624524));	2253	brv3
brv3-PB	X:complement(join(2622192..2622341,2622435..2623514,2623595..2624524));	2160	brv3
Tsp3A-PA	X:complement(join(2618436..2618761,2618869..2619039,2619116..2619533));	915	Tsp3A
